pokeID,dexID,isReleased,hasShadow
BULBASAUR,0001,True,True
IVYSAUR,0002,True,True
VENUSAUR,0003,True,True
CHARMANDER,0004,True,True
CHARMELEON,0005,True,True
CHARIZARD,0006,True,True
SQUIRTLE,0007,True,True
WARTORTLE,0008,True,True
BLASTOISE,0009,True,True
CATERPIE,0010,True,True
METAPOD,0011,True,True
BUTTERFREE,0012,True,True
WEEDLE,0013,True,True
KAKUNA,0014,True,True
BEEDRILL,0015,True,True
PIDGEY,0016,True,True
PIDGEOTTO,0017,True,True
PIDGEOT,0018,True,True
RATTATA,0019,True,True
RATICATE,0020,True,True
SPEAROW,0021,True,False
FEAROW,0022,True,False
EKANS,0023,True,True
ARBOK,0024,True,True
PIKACHU,0025,True,False
RAICHU,0026,True,False
SANDSHREW,0027,True,True
SANDSLASH,0028,True,True
NIDORAN_FEMALE,0029,True,True
NIDORINA,0030,True,True
NIDOQUEEN,0031,True,True
NIDORAN_MALE,0032,True,True
NIDORINO,0033,True,True
NIDOKING,0034,True,True
CLEFAIRY,0035,True,False
CLEFABLE,0036,True,False
VULPIX,0037,True,True
NINETALES,0038,True,True
JIGGLYPUFF,0039,True,False
WIGGLYTUFF,0040,True,False
ZUBAT,0041,True,True
GOLBAT,0042,True,True
ODDISH,0043,True,True
GLOOM,0044,True,True
VILEPLUME,0045,True,True
PARAS,0046,True,False
PARASECT,0047,True,False
VENONAT,0048,True,True
VENOMOTH,0049,True,True
DIGLETT,0050,True,True
DUGTRIO,0051,True,True
MEOWTH,0052,True,True
PERSIAN,0053,True,True
PSYDUCK,0054,True,True
GOLDUCK,0055,True,True
MANKEY,0056,True,True
PRIMEAPE,0057,True,True
GROWLITHE,0058,True,True
ARCANINE,0059,True,True
POLIWAG,0060,True,True
POLIWHIRL,0061,True,True
POLIWRATH,0062,True,True
ABRA,0063,True,True
KADABRA,0064,True,True
ALAKAZAM,0065,True,True
MACHOP,0066,True,True
MACHOKE,0067,True,True
MACHAMP,0068,True,True
BELLSPROUT,0069,True,True
WEEPINBELL,0070,True,True
VICTREEBEL,0071,True,True
TENTACOOL,0072,True,True
TENTACRUEL,0073,True,True
GEODUDE,0074,True,True
GRAVELER,0075,True,True
GOLEM,0076,True,True
PONYTA,0077,True,False
RAPIDASH,0078,True,False
SLOWPOKE,0079,True,True
SLOWBRO,0080,True,True
MAGNEMITE,0081,True,True
MAGNETON,0082,True,True
FARFETCHD,0083,True,False
DODUO,0084,True,False
DODRIO,0085,True,False
SEEL,0086,True,False
DEWGONG,0087,True,False
GRIMER,0088,True,True
MUK,0089,True,True
SHELLDER,0090,True,True
CLOYSTER,0091,True,True
GASTLY,0092,True,True
HAUNTER,0093,True,True
GENGAR,0094,True,True
ONIX,0095,True,True
DROWZEE,0096,True,True
HYPNO,0097,True,True
KRABBY,0098,True,False
KINGLER,0099,True,False
VOLTORB,0100,True,True
ELECTRODE,0101,True,True
EXEGGCUTE,0102,True,True
EXEGGUTOR,0103,True,True
CUBONE,0104,True,True
MAROWAK,0105,True,True
HITMONLEE,0106,True,True
HITMONCHAN,0107,True,True
LICKITUNG,0108,True,False
KOFFING,0109,True,True
WEEZING,0110,True,True
RHYHORN,0111,True,True
RHYDON,0112,True,True
CHANSEY,0113,True,False
TANGELA,0114,True,True
KANGASKHAN,0115,True,False
HORSEA,0116,True,True
SEADRA,0117,True,True
GOLDEEN,0118,True,False
SEAKING,0119,True,False
STARYU,0120,True,False
STARMIE,0121,True,False
MR_MIME,0122,True,False
SCYTHER,0123,True,True
JYNX,0124,True,False
ELECTABUZZ,0125,True,True
MAGMAR,0126,True,True
PINSIR,0127,True,True
TAUROS,0128,True,False
MAGIKARP,0129,True,True
GYARADOS,0130,True,True
LAPRAS,0131,True,True
DITTO,0132,True,False
EEVEE,0133,True,False
VAPOREON,0134,True,False
JOLTEON,0135,True,False
FLAREON,0136,True,False
PORYGON,0137,True,True
OMANYTE,0138,True,True
OMASTAR,0139,True,True
KABUTO,0140,True,False
KABUTOPS,0141,True,False
AERODACTYL,0142,True,True
SNORLAX,0143,True,True
ARTICUNO,0144,True,True
ZAPDOS,0145,True,True
MOLTRES,0146,True,True
DRATINI,0147,True,True
DRAGONAIR,0148,True,True
DRAGONITE,0149,True,True
MEWTWO,0150,True,True
MEWTWO_A,0150-armored,True,False
MEW,0151,True,False
RATTATA_ALOLA,0019-alola,True,True
RATICATE_ALOLA,0020-alola,True,True
RAICHU_ALOLA,0026-alola,True,False
SANDSHREW_ALOLA,0027-alola,True,True
SANDSLASH_ALOLA,0028-alola,True,True
VULPIX_ALOLA,0037-alola,True,True
NINETALES_ALOLA,0038-alola,True,True
DIGLETT_ALOLA,0050-alola,True,True
DUGTRIO_ALOLA,0051-alola,True,True
MEOWTH_ALOLA,0052-alola,True,False
PERSIAN_ALOLA,0053-alola,True,False
GEODUDE_ALOLA,0074-alola,True,True
GRAVELER_ALOLA,0075-alola,True,True
GOLEM_ALOLA,0076-alola,True,True
GRIMER_ALOLA,0088-alola,True,True
MUK_ALOLA,0089-alola,True,True
EXEGGUTOR_ALOLA,0103-alola,True,True
MAROWAK_ALOLA,0105-alola,True,True
MEOWTH_GALARIAN,0052-galar,True,False
PONYTA_GALARIAN,0077-galar,True,False
RAPIDASH_GALARIAN,0078-galar,True,False
SLOWPOKE_GALARIAN,0079-galar,True,False
SLOWBRO_GALARIAN,0080-galar,True,False
FARFETCHD_GALARIAN,0083-galar,True,False
WEEZING_GALARIAN,0110-galar,True,True
